Applicant.ID,Position.Name,Employer.Name,City,State.Name,State.Code,Start.Date,End.Date,Job.Description,Salary,Can.Contact.Employer,Created.At,Updated.At
10001,Account Manager / Sales Administration / Quality Assurance,Barcode Resourcing,Bellingham,Washington,WA,15-10-2012,,NA,NA,NA,2014-12-12 20:10:02 UTC,2014-12-12 20:10:02 UTC
10001,Electronics Technician / Item Master Controller,Ryzex Group,Bellingham,Washington,WA,01-12-2001,01-04-2012,NA,NA,NA,2014-12-12 20:10:02 UTC,2014-12-12 20:10:02 UTC
10001,Machine Operator,comptec inc,Custer,Washington,WA,01-01-1997,01-01-1999,NA,NA,NA,2014-12-12 20:10:02 UTC,2014-12-12 20:10:02 UTC
10003,maintenance technician,Winn residental ,washington,District of Columbia,DC,NA,NA,"Necessary maintenance for ""Make Ready"" Plumbing, electrical, HvAc ",10,FALSE,2014-12-12 21:27:05 UTC,2014-12-12 21:27:05 UTC
10003,Electrical Helper ,michael and son services ,alexandria ,Virginia,VA,NA,NA,repair and services of electrical construction ,NA,FALSE,2014-12-12 21:27:05 UTC,2014-12-12 21:27:05 UTC
10003,technician ,jiffy lube ,district heights ,Maryland,MD,NA,NA,"basic auto maintenance, and customer services reports ",7.25,FALSE,2014-12-12 21:27:05 UTC,2014-12-12 21:27:05 UTC
10004,,Retired,,,,,NA,,NA,NA,2014-12-12 22:02:02 UTC,2014-12-12 22:02:02 UTC
10004,,Rite Aid,Cleveland,Ohio,OH,,NA,Shift superisor,NA,NA,2014-12-12 22:02:02 UTC,2014-12-12 22:02:02 UTC
10004,shift superviveur,Rite Aid,Cleveland,Ohio,OH,06-04-1985,NA,,NA,NA,2014-12-12 22:02:02 UTC,2014-12-12 22:02:02 UTC
10005,All Star Houseman,Hilton Garden Inn Atlanta Midtown,Atlanta,Georgia,GA,NA,01-08-2014,NA,NA,NA,2014-12-12 22:08:04 UTC,2014-12-12 22:08:04 UTC
10007,Bartender,Infusion Lounge,San Francisco,California,CA,01-08-2010,,"Support bar and management staff at a well-known nigh-club with nightly sales of $25,000+
Keep pace in an extremely fast work environment 
Receive consistently positive performance reviews from supervisors",NA,FALSE,2014-12-12 23:01:04 UTC,2014-12-12 23:03:13 UTC
10007,Bar Manager / Head Bartender,Home Restaurant,San Francisco,California,CA,01-05-2005,30-09-2012,"â€¢	Collaborate with management team on a regular basis to review day-to-day operations and address new issues
â€¢	Manage all bar inventory and ordering, including working one-on-one with sales reps
â€¢	Control cost through regular review of restaurant financials and supervision of staff
â€¢	Assist in hiring and training all new bartenders and bar backs
â€¢	Develop new menu items, signature cocktails and sales promotions",NA,FALSE,2014-12-12 23:01:04 UTC,2014-12-12 23:03:13 UTC
10007,Bartender,15 Romolo,San Francisco,California,CA,01-02-2010,30-04-2011,"â€¢	Serve luxury cocktails and wines in an intimate lounge setting
â€¢	Increased knowledge of mixing classic and contemporary cocktails
â€¢	Train and supervise assistant bartenders",NA,FALSE,2014-12-12 23:01:04 UTC,2014-12-12 23:03:13 UTC
10008,"non-food stocker, photo",Kroger,Cincinnati,Ohio,OH,,,"stocked non food grocery items, kept aisle neat, did displays, assisted customers, developed photographs,cashier",6.25,FALSE,2014-12-13 00:30:26 UTC,2014-12-13 00:30:26 UTC
10008,Registrar,Mercy Health Physicians,Cincinnati,Ohio,OH,01-10-2012,,"incoming call, registration, problem solve, office, clerical work",13.53,TRUE,2014-12-13 00:30:26 UTC,2014-12-13 00:30:26 UTC
10008,Registrar,The Christ Hospital,Cincinnati,Ohio,OH,01-10-2006,27-08-2012,"registration, EMR, calls, referral, clerical/office work",12.5,TRUE,2014-12-13 00:30:26 UTC,2014-12-13 00:30:26 UTC
10008,cashier/baker,The Cheesecake Factory,Cincinnati,Ohio,OH,01-11-2004,01-09-2006,"cashier, all take out call in orders, prepared desserts/beverages, customer service",10,TRUE,2014-12-13 00:30:26 UTC,2014-12-13 00:30:26 UTC
10008,cashier/asst.manager,Penn station,Cincinnati,Ohio,OH,01-06-2000,01-10-2004,"opened/closed store, prepped food, cook, cashier, supervisor",9.5,TRUE,2014-12-13 00:30:26 UTC,2014-12-13 00:30:26 UTC
1001,Sales Associate,Athleta,Santa Monica,California,CA,01-07-2013,01-01-2013,Assist customers on sales floor and in fitting rooms. Provide a model/example for how our companys product looks on different body types. Restock sales floor/back stock. Create lasting impression on customers,8.75,FALSE,2014-08-15 22:05:47 UTC,2014-08-15 22:05:47 UTC
10011,driver helper,united parcel service,NA,NA,NA,,,,NA,NA,2014-12-13 00:31:01 UTC,2014-12-13 00:31:01 UTC
10011,Cashier,Chicago Zoological Society/Brookfield Zoo,NA,NA,NA,01-02-2009,31-12-2010,"Greet customers in friendly manner, handled cash in cash register, rotated stock, count inventory, answer phones.",NA,NA,2014-12-13 00:31:01 UTC,2014-12-13 00:31:01 UTC
10011,customer assistant,Chicago Transit Authority,NA,NA,NA,01-03-2007,31-10-2008,"Assisted customer with passing for daily usage of city El and bus, agitated customers with directions, assisted customers with disabilities on/off train using a ramp, answered phones, daily entry of activity log sheet.",NA,NA,2014-12-13 00:31:01 UTC,2014-12-13 00:31:01 UTC
10016,Host,Noodles and Company ,San Francisco ,California,CA,NA,NA,"My duties there were to seat guest, serve them food, maintain a clean resturant including bathroom, and bussing tables.",NA,TRUE,2014-12-13 06:01:21 UTC,2014-12-13 06:01:21 UTC
10020,IT Technician II,Rome Research Corporation,San Francisco,California,CA,01-09-2011,31-01-2014,"Performed limited Computer administrative duties dealing with password management and control to allow authorized user access to command, control and monitoring computers.

Assisted distant end users all over the world in troubleshooting issues with their satellite equipment, modems and software. 

Experience working with Ku, Ka, C and X frequency bands

Under supervision implements the Teleport Information Assurance Vulnerability Management (IAMV) processes.

Respond to Information Assurance Vulnerability Alerts (IAVA).

Under supervision will implement software and firmware patches, software upgrades, and configuration changes.

Stayed in Compliance with FCC rules and regulations when operating equipment.

Perform all maintenance, repairs and upgrades to computer equipment in a manner, which shall provide minimal impact on the system while providing satisfactory service during the maintenance, repair or upgrade.

Performed equipment modifications with government approval only.

Operates the Linkway Hub Terminal to include associated Limited IP Suite of equipment to include making Master Station Log entries, monitoring distant end users to ensure that equipment is operating at prescribed parameters and as determined by the Gateway Access Authorization (GAA) and Satellite Access Authorization (SAA).
 
Will take directions verbal or written from the TNC/IP Network Operations Center (IPNOC).

Submits all reports to include After Action Reports (AARâ€™s) associated with IP Ground Mobile Forces / Joint Node Network (JNN) / Limited IP Suite Missions.

Conducts orientation for other site personnel on computer operational systems to include associated IP equipment and Cisco devices.

Respond to commercial, generator, or UPS failure to restore computer systems and site power.

Perform other related duties as assigned when necessary to accomplish work assignments.

Helped the Tech III's to maintain our Solaris/Unix servers",NA,FALSE,2014-12-13 08:34:32 UTC,2014-12-13 08:36:14 UTC
10020,Information Technology Specialist,U.S. Army,Alexandria,Virginia,VA,01-02-2004,30-09-2011,"Assisted less experienced technicians in the installation, operation, and maintenance of information processing equipment

Set up equipment for employee use, performing or ensuring proper installation of cables,operating systems, or appropriate software. Upgraded hardware and software when necessary.

Maintained computer networks and related computing environments including computer hardware, systems software, applications software, and all configurations.

Diagnosed and repaired both hardware and software issues which interfere with a computer,printer, or other electronic devices ability to function at peak performance. Referred major hardware, software, or defective products to vendors or technicians for service.

Performed a variety of technical inspections on computers, printers, scanners, peripheral devices, and other electronic devices

Examined work orders and converse with equipment operators to detect equipment problems and to ascertain whether mechanical or human errors contributed to the problems

Helped users with all issues concerning mobile devices

Used Active Directory to add/remove users, computers and to reset passwords

Performed data backups and disaster recovery for users 

Oversaw the daily performance of approximately 300 computer systems

Answered user inquiries regarding computer software or hardware operation to resolve problem

Fabricated CAT 5/6 cable for customers

Imaging computers",NA,FALSE,2014-12-13 08:34:32 UTC,2014-12-13 08:36:14 UTC
10023,Engineering Tech,Avent/Kimberly Clark,Tucson,Arizona,AZ,01-09-2013,31-12-2014,"â€¢	Writing protocols and reports for new equipment
â€¢	Writing Work Instructions and Job Aids for operation of new equipment
â€¢	Designing, ordering, and assembling new lab workbenches for new process room
â€¢	Value stream mapping for greater production efficiency",14.5,TRUE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
10023,Clerical/Mail Room/Scanning,MOLLEN HEALTH,Scottsdale,Arizona,AZ,01-10-2009,31-05-2013,"Verification of data from patients, including contacting patients for corrected information.  Contacted insurance companies for coverage verification and used search engines to verify correct mailing addresses, enabling company to bill over 200 clients given up for lost.  Reviewed and verified credit card information, expediting cash flow.",11.5,TRUE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
10023,Residential Designer,COEBILT HOMES,Scottsdale,Arizona,AZ,01-01-2003,31-05-2008,"Responsible for design, Construction Documents, and permitting for twenty custom homes 
in Yavapai County.  Acquired subdivision permits from various County and State agencies.   
Instrumental in getting Public Report for 50 home subdivision after two years of denials.
Completely reorganized office filing system.",30,TRUE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
10023,Project Architect,ORCUTT/WINSLOW,Phoenix,Arizona,AZ,01-06-2001,31-12-2002,"Responsible for pre-design through Construction Documents for the Arizona School Facilities 
Board (SFB) Deficiency projects in Mayer, Bagdad and Yuma.  
Instrumental in getting permission from SFB to move elementary school from worn-out temporary structures to new buildings within high school site.",26,FALSE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
10023,Project Architect,ARCHICON LC,Phoenix,Arizona,AZ,01-06-2000,31-05-2001,"Responsible for design and production of Construction Documents, lease exhibits, and space planning.  
Created dramatic interiors for Apache Honda motorcycle showroom in Mesa, coordinated with mechanical engineers to achieve City of Mesa visual compliance and successfully acquired permits compliant with ADA regulations..",25,TRUE,2015-02-12 04:01:23 UTC,2015-02-12 04:06:08 UTC
